scenarioId,scenarioType,severity,etaErrorMean,oracleDecision,identifiedDecision,decisionMatch,controllabilityMatch,trimInfoConsistency,conservativeDecision,dangerousMismatch,identifierConfidence,identifierUncertainty
161,thrust,0.8,0.759218291503669,RETURN,UNRECOVERABLE,0,0,0,1,0,0.823622680742914,0.0970213828330089
162,thrust,0.8,0.759218291503669,RETURN,UNRECOVERABLE,0,0,0,1,0,0.823622680742914,0.0970213828330089
163,thrust,0.8,0.759218291503669,RETURN,UNRECOVERABLE,0,0,0,1,0,0.823622680742914,0.0970213828330089
164,thrust,0.8,0.759218291503669,RETURN,UNRECOVERABLE,0,0,0,1,0,0.823622680742914,0.0970213828330089
165,thrust,0.8,0.759218291503669,RETURN,UNRECOVERABLE,0,0,0,1,0,0.823622680742914,0.0970213828330089
166,thrust,0.8,0.759218291503669,RETURN,UNRECOVERABLE,0,0,0,1,0,0.823622680742914,0.0970213828330089
167,thrust,0.8,0.759218291503669,RETURN,UNRECOVERABLE,0,0,0,1,0,0.823622680742914,0.0970213828330089
168,thrust,0.8,0.759218291503669,RETURN,UNRECOVERABLE,0,0,0,1,0,0.823622680742914,0.0970213828330089
169,compound,0.8,0.444898396278044,EGRESS_PREP,UNRECOVERABLE,0,0,0,1,0,0.752209798983827,0.142370002965904
170,compound,0.8,0.444898396278044,EGRESS_PREP,UNRECOVERABLE,0,0,0,1,0,0.752209798983827,0.142370002965904
171,compound,0.8,0.444898396278044,EGRESS_PREP,UNRECOVERABLE,0,0,0,1,0,0.752209798983827,0.142370002965904
172,compound,0.8,0.444898396278044,EGRESS_PREP,UNRECOVERABLE,0,0,0,1,0,0.752209798983827,0.142370002965904
173,compound,0.8,0.444898396278044,EGRESS_PREP,UNRECOVERABLE,0,0,0,1,0,0.752209798983827,0.142370002965904
174,compound,0.8,0.444898396278044,EGRESS_PREP,UNRECOVERABLE,0,0,0,1,0,0.752209798983827,0.142370002965904
175,compound,0.8,0.444898396278044,EGRESS_PREP,UNRECOVERABLE,0,0,0,1,0,0.752209798983827,0.142370002965904
176,compound,0.8,0.444898396278044,EGRESS_PREP,UNRECOVERABLE,0,0,0,1,0,0.752209798983827,0.142370002965904
177,compound,0.8,0.444898396278044,EGRESS_PREP,UNRECOVERABLE,0,0,0,1,0,0.752209798983827,0.142370002965904
178,compound,0.8,0.444898396278044,EGRESS_PREP,UNRECOVERABLE,0,0,0,1,0,0.752209798983827,0.142370002965904
179,compound,0.8,0.444898396278044,EGRESS_PREP,UNRECOVERABLE,0,0,0,1,0,0.752209798983827,0.142370002965904
180,compound,0.8,0.444898396278044,EGRESS_PREP,UNRECOVERABLE,0,0,0,1,0,0.752209798983827,0.142370002965904
